order_id,customer_id,order_date,product_id,quantity,price,order_status,shipping_address,city,country,payment_method,discount,category,sales_rep,region,ship_date,delivery_days,returned,gender
1049,C190,2025-12-04,P148,4,64.04,Cancelled,"696 Main St, City5",City4,India,PayPal,3.48,Electronics,SR06,North,2025-12-28,8,No,Female
1050,C009,2025-12-08,P118,5,71.48,Returned,"132 Main St, City19",City7,India,Cash,15.76,Sports,SR19,South,2025-12-29,2,Yes,Other
1051,C039,2025-12-30,P117,3,10.85,Pending,"886 Main St, City3",City20,Canada,Cash,8.78,Home,SR10,West,2025-12-19,9,No,Female
1052,C021,2025-12-20,P102,7,74.51,Cancelled,"712 Main St, City18",City6,India,Credit Card,19.99,Sports,SR09,North,2025-12-13,8,No,Female
1053,C047,2025-12-19,P127,8,97.02,Returned,"462 Main St, City18",City15,UK,Cash,13.4,Clothing,SR11,West,2026-01-02,5,No,Other
1054,C010,2025-12-15,P105,6,28.22,Shipped,"477 Main St, City3",City1,Australia,Credit Card,13.15,Toys,SR15,West,2025-12-05,4,No,Other
1055,C194,2025-12-16,P140,8,76.95,Pending,"553 Main St, City6",City19,India,Cash,8.76,Sports,SR16,North,2025-12-03,10,Yes,Other
1056,C041,2025-12-10,P135,1,57.01,Shipped,"510 Main St, City3",City4,Germany,Credit Card,12.95,Clothing,SR16,East,2026-01-03,5,No,Female
1057,C121,2025-12-08,P129,9,17.88,Pending,"837 Main St, City1",City9,Canada,PayPal,17.28,Books,SR14,East,2026-01-03,5,Yes,Female
1058,C186,2025-12-10,P137,10,99.88,Returned,"817 Main St, City7",City20,France,Gift Card,6.9,Toys,SR18,West,2025-12-31,6,Yes,Other
1059,C062,2025-12-19,P124,4,86.17,Returned,"150 Main St, City2",City19,Canada,Gift Card,14.1,Home,SR13,South,2026-01-02,1,Yes,Other
1060,C152,2025-12-11,P106,8,13.56,Returned,"234 Main St, City17",City18,India,Gift Card,17.42,Clothing,SR03,West,2025-12-18,6,No,Other
1061,C021,2025-12-28,P121,9,40.47,Cancelled,"519 Main St, City16",City18,Australia,Gift Card,17.45,Electronics,SR20,North,2025-12-17,5,Yes,Other
1062,C024,2025-12-14,P106,2,46.58,Cancelled,"544 Main St, City17",City4,UK,Credit Card,5.87,Books,SR14,South,2025-12-17,9,No,Other
1063,C175,2025-12-26,P111,3,20.8,Returned,"907 Main St, City10",City9,India,Gift Card,18.26,Clothing,SR08,West,2025-12-18,8,No,Other
1064,C003,2025-12-29,P129,5,69.04,Pending,"132 Main St, City19",City13,UK,Cash,12.78,Home,SR09,West,2025-12-21,4,No,Female
1065,C028,2025-12-08,P124,10,38.45,Cancelled,"761 Main St, City4",City20,USA,Gift Card,5.49,Toys,SR02,West,2025-12-20,4,No,Male
1066,C163,2025-12-07,P139,5,69.06,Pending,"519 Main St, City16",City8,Canada,Credit Card,6.18,Home,SR02,East,2025-12-10,2,No,Female
1067,C192,2025-12-14,P111,4,16.68,Cancelled,"192 Main St, City6",City17,UK,PayPal,5.14,Home,SR10,East,2025-12-09,8,Yes,Male
1068,C194,2025-12-31,P114,7,96.85,Cancelled,"749 Main St, City19",City3,USA,Cash,10.73,Home,SR12,East,2025-12-26,6,Yes,Other
1069,C060,2025-12-16,P101,10,88.88,Cancelled,"378 Main St, City18",City13,Canada,Credit Card,12.71,Home,SR10,West,2025-12-09,3,Yes,Male
1070,C078,2025-12-16,P107,2,26.53,Pending,"225 Main St, City1",City19,UK,Gift Card,11.75,Sports,SR05,West,2025-12-08,8,No,Female
1071,C009,2025-12-23,P123,4,46.55,Pending,"314 Main St, City11",City7,Canada,Cash,10.89,Sports,SR12,North,2025-12-27,5,Yes,Male
1072,C117,2025-12-03,P142,4,65.59,Shipped,"262 Main St, City20",City11,India,PayPal,15.74,Clothing,SR03,South,2025-12-15,4,No,Male
1073,C153,2025-12-01,P117,3,98.79,Cancelled,"292 Main St, City17",City10,Canada,Credit Card,2.64,Books,SR08,East,2025-12-03,3,No,Male
1074,C033,2025-12-24,P126,9,14.9,Shipped,"481 Main St, City16",City20,Australia,Cash,10.26,Electronics,SR15,South,2025-12-04,9,No,Female
1075,C165,2025-12-31,P101,1,99.85,Returned,"188 Main St, City8",City7,USA,Gift Card,14.25,Home,SR03,North,2025-12-22,10,Yes,Male
1076,C033,2025-12-09,P139,10,56.63,Cancelled,"531 Main St, City6",City20,France,Cash,9.07,Toys,SR14,North,2025-12-09,9,Yes,Female
1077,C116,2025-12-29,P114,7,36.53,Returned,"456 Main St, City1",City3,Canada,Credit Card,6.25,Books,SR09,East,2025-12-11,8,Yes,Male
1078,C022,2025-12-03,P127,2,75.47,Cancelled,"173 Main St, City6",City18,USA,Cash,13.4,Home,SR12,West,2025-12-05,5,No,Female
1079,C027,2025-12-19,P132,4,18.84,Returned,"510 Main St, City3",City17,UK,Cash,2.3,Books,SR19,South,2025-12-29,9,Yes,Other
1080,C169,2025-12-27,P144,5,6.77,Cancelled,"761 Main St, City4",City5,UK,Cash,7.02,Clothing,SR05,West,2025-12-06,3,Yes,Male
1081,C192,2025-12-17,P113,7,44.29,Cancelled,"237 Main St, City4",City12,UK,Cash,15.54,Toys,SR20,North,2025-12-05,3,Yes,Other
1082,C013,2025-12-22,P105,5,46.53,Returned,"674 Main St, City16",City11,Germany,Gift Card,5.46,Toys,SR04,East,2025-12-29,2,No,Other
1083,C174,2025-12-19,P131,9,68.03,Shipped,"952 Main St, City17",City3,France,Credit Card,0.15,Books,SR07,South,2025-12-18,5,No,Male
1084,C002,2025-12-16,P147,7,20.86,Returned,"211 Main St, City4",City10,India,Cash,1.44,Sports,SR02,West,2025-12-03,8,Yes,Female
1085,C148,2025-12-14,P136,7,72.1,Returned,"605 Main St, City1",City4,Germany,Credit Card,19.32,Clothing,SR20,West,2025-12-25,2,No,Male
1086,C063,2025-12-14,P137,7,54.29,Returned,"718 Main St, City3",City19,UK,PayPal,6.66,Clothing,SR03,North,2026-01-04,9,Yes,Female
1087,C090,2025-12-24,P141,3,26.67,Pending,"821 Main St, City3",City11,India,PayPal,15.2,Sports,SR03,South,2026-01-02,8,No,Other
1088,C145,2025-12-21,P140,10,35.02,Cancelled,"817 Main St, City7",City7,USA,Gift Card,8.84,Books,SR09,North,2025-12-24,9,Yes,Female
1089,C119,2025-12-15,P102,1,39.39,Cancelled,"771 Main St, City13",City1,Australia,Credit Card,12.3,Toys,SR13,West,2025-12-04,8,Yes,Female
1090,C155,2025-12-16,P132,3,95.93,Returned,"786 Main St, City6",City7,Canada,Credit Card,10.09,Clothing,SR02,South,2025-12-30,8,Yes,Female
1091,C096,2025-12-30,P118,7,43.23,Cancelled,"909 Main St, City20",City16,USA,Cash,1.32,Electronics,SR18,West,2025-12-20,5,Yes,Female
1092,C021,2025-12-19,P142,3,92.0,Cancelled,"369 Main St, City20",City10,Canada,Gift Card,2.58,Sports,SR03,East,2025-12-26,6,Yes,Other
1093,C180,2025-12-27,P147,9,12.96,Returned,"801 Main St, City6",City5,USA,Cash,6.18,Clothing,SR11,West,2025-12-14,4,Yes,Male
1094,C020,2025-12-10,P106,9,77.99,Shipped,"696 Main St, City5",City8,Australia,PayPal,11.94,Clothing,SR06,South,2025-12-12,8,Yes,Female
1095,C094,2025-12-22,P146,4,97.07,Cancelled,"709 Main St, City18",City19,Australia,Gift Card,4.68,Clothing,SR10,West,2025-12-14,6,No,Female
1096,C197,2025-12-10,P149,7,52.27,Returned,"918 Main St, City1",City11,Australia,PayPal,17.46,Electronics,SR16,East,2025-12-08,9,Yes,Female
1097,C022,2025-12-25,P110,5,47.12,Pending,"702 Main St, City20",City6,India,Gift Card,17.69,Electronics,SR14,North,2025-12-27,9,No,Male
1098,C099,2025-12-03,P123,4,6.7,Shipped,"129 Main St, City4",City2,UK,PayPal,2.75,Books,SR16,South,2026-01-01,8,Yes,Male
1099,C005,2025-12-09,P113,3,56.68,Returned,"280 Main St, City6",City20,UK,PayPal,6.02,Electronics,SR08,West,2025-12-31,2,Yes,Female
1100,C153,2025-12-18,P101,9,59.19,Pending,"605 Main St, City1",City19,USA,Cash,4.81,Home,SR06,North,2026-01-04,6,Yes,Other
1101,C140,2025-12-17,P132,9,5.94,Returned,"150 Main St, City2",City14,Germany,Cash,5.07,Electronics,SR12,North,2025-12-24,4,Yes,Other
1102,C189,2025-12-25,P121,3,8.25,Cancelled,"227 Main St, City16",City9,Australia,Gift Card,19.62,Home,SR06,South,2025-12-06,8,Yes,Female
1103,C052,2025-12-02,P112,1,34.29,Cancelled,"375 Main St, City11",City3,Australia,Gift Card,5.07,Sports,SR07,East,2025-12-24,1,No,Female
1104,C032,2025-12-26,P123,7,89.38,Returned,"347 Main St, City12",City8,India,Gift Card,13.84,Books,SR17,East,2025-12-07,7,Yes,Female
1105,C155,2025-12-27,P111,9,32.19,Shipped,"644 Main St, City12",City9,Canada,Cash,6.13,Toys,SR14,South,2025-12-30,6,No,Male
1106,C187,2025-12-28,P122,10,99.81,Cancelled,"123 Main St, City14",City8,USA,Gift Card,7.27,Sports,SR06,North,2025-12-11,10,No,Male
1107,C033,2025-12-03,P115,6,38.76,Shipped,"972 Main St, City2",City12,Canada,Gift Card,18.98,Books,SR15,North,2025-12-10,9,No,Female
1108,C081,2025-12-21,P117,4,96.2,Shipped,"418 Main St, City8",City2,Germany,Gift Card,18.27,Electronics,SR09,East,2025-12-30,4,No,Other
1109,C126,2025-12-07,P107,3,85.86,Returned,"292 Main St, City17",City11,Germany,Credit Card,16.21,Books,SR12,North,2026-01-05,5,No,Male
1110,C183,2025-12-23,P144,3,80.18,Pending,"351 Main St, City10",City11,Australia,PayPal,4.73,Home,SR01,East,2025-12-25,8,Yes,Other
1111,C023,2025-12-03,P119,7,99.95,Returned,"170 Main St, City9",City6,Australia,Gift Card,16.47,Electronics,SR05,East,2025-12-06,8,No,Other
1112,C133,2025-12-12,P108,9,65.41,Pending,"155 Main St, City3",City11,Germany,Credit Card,16.63,Toys,SR05,East,2025-12-12,3,No,Other
1113,C058,2025-12-12,P133,5,85.2,Cancelled,"989 Main St, City8",City14,France,Cash,2.5,Books,SR20,North,2026-01-03,3,Yes,Male
1114,C169,2025-12-20,P146,10,36.4,Shipped,"544 Main St, City17",City4,USA,Cash,13.02,Toys,SR14,North,2026-01-02,9,No,Other
1115,C078,2025-12-16,P115,7,32.54,Shipped,"658 Main St, City4",City20,India,Gift Card,8.31,Home,SR07,East,2025-12-11,6,No,Other
1116,C089,2025-12-13,P108,6,53.43,Shipped,"815 Main St, City20",City1,Germany,Credit Card,5.35,Clothing,SR05,North,2025-12-05,5,No,Other
1117,C108,2025-12-08,P110,6,93.63,Cancelled,"512 Main St, City15",City5,India,Gift Card,19.92,Home,SR16,East,2026-01-02,1,Yes,Female
1118,C130,2025-12-15,P115,4,59.99,Shipped,"262 Main St, City20",City5,Germany,Gift Card,5.71,Electronics,SR04,West,2025-12-10,5,No,Female
1119,C094,2025-12-02,P125,1,58.74,Pending,"314 Main St, City11",City5,UK,Credit Card,7.73,Home,SR18,East,2025-12-09,3,Yes,Female
1120,C096,2025-12-26,P121,9,94.13,Pending,"989 Main St, City8",City15,France,Gift Card,10.0,Electronics,SR02,South,2025-12-23,8,No,Male
1121,C156,2025-12-29,P132,3,35.47,Cancelled,"918 Main St, City1",City18,France,Cash,11.87,Toys,SR17,West,2025-12-21,8,Yes,Female
1122,C085,2025-12-22,P107,7,60.03,Shipped,"979 Main St, City15",City3,UK,PayPal,14.43,Toys,SR16,South,2026-01-04,10,No,Male
1123,C175,2025-12-08,P102,10,95.02,Shipped,"512 Main St, City15",City2,Germany,Cash,8.38,Home,SR07,West,2026-01-03,10,No,Other
1124,C187,2025-12-02,P145,3,53.78,Cancelled,"696 Main St, City5",City8,France,Gift Card,6.28,Clothing,SR15,East,2026-01-05,6,No,Other
1125,C124,2025-12-07,P115,5,57.57,Pending,"372 Main St, City15",City2,UK,PayPal,13.8,Home,SR11,West,2025-12-24,9,No,Female
1126,C032,2025-12-19,P143,9,40.44,Returned,"254 Main St, City20",City2,Australia,PayPal,5.81,Books,SR03,East,2025-12-30,5,No,Male
1127,C052,2025-12-27,P134,5,93.56,Cancelled,"754 Main St, City5",City17,France,PayPal,4.85,Sports,SR17,South,2025-12-16,1,Yes,Female
1128,C085,2025-12-23,P130,2,69.38,Pending,"713 Main St, City5",City19,India,Gift Card,13.06,Home,SR16,South,2025-12-20,6,No,Other
1129,C016,2025-12-30,P149,2,66.61,Pending,"211 Main St, City4",City3,Canada,Credit Card,18.26,Clothing,SR14,South,2025-12-04,7,No,Male
1130,C192,2025-12-31,P118,1,4.88,Shipped,"512 Main St, City20",City5,Germany,Gift Card,17.79,Clothing,SR17,West,2025-12-19,4,Yes,Female
1131,C042,2025-12-24,P129,5,72.98,Shipped,"418 Main St, City8",City8,Australia,Cash,11.36,Clothing,SR06,West,2025-12-29,9,No,Male
1132,C103,2025-12-22,P106,3,98.23,Returned,"192 Main St, City5",City5,USA,Cash,7.67,Home,SR09,East,2025-12-21,10,Yes,Female
1133,C168,2025-12-12,P144,4,9.95,Shipped,"330 Main St, City5",City20,India,Gift Card,13.72,Sports,SR10,North,2025-12-20,6,Yes,Male
1134,C035,2025-12-16,P109,8,75.77,Cancelled,"190 Main St, City20",City20,France,Gift Card,15.15,Sports,SR07,South,2025-12-07,9,No,Other
1135,C181,2025-12-12,P104,10,14.76,Pending,"765 Main St, City1",City6,India,PayPal,6.56,Toys,SR15,North,2025-12-15,10,No,Male
1136,C131,2025-12-15,P103,8,16.66,Returned,"800 Main St, City4",City6,USA,Gift Card,13.46,Books,SR01,West,2025-12-18,1,Yes,Other
1137,C019,2025-12-02,P127,6,71.23,Shipped,"393 Main St, City15",City9,USA,Cash,8.18,Clothing,SR14,East,2025-12-26,8,No,Female
1138,C021,2025-12-22,P142,9,16.76,Cancelled,"938 Main St, City19",City3,France,Gift Card,10.58,Sports,SR08,North,2025-12-03,5,No,Other
1139,C185,2025-12-18,P127,9,40.4,Pending,"569 Main St, City3",City5,UK,PayPal,5.51,Sports,SR04,North,2025-12-28,10,Yes,Male
1140,C053,2025-12-03,P106,10,7.21,Shipped,"364 Main St, City11",City3,USA,Gift Card,8.78,Toys,SR07,North,2025-12-10,9,No,Male
1141,C188,2025-12-19,P120,10,61.39,Cancelled,"885 Main St, City5",City6,India,PayPal,8.27,Books,SR02,South,2025-12-29,9,No,Male
1142,C089,2025-12-31,P141,7,79.43,Cancelled,"595 Main St, City16",City3,Germany,PayPal,6.0,Clothing,SR18,West,2025-12-17,4,No,Other
1143,C037,2025-12-26,P129,1,57.98,Returned,"625 Main St, City9",City19,India,Gift Card,4.86,Clothing,SR11,North,2025-12-30,6,Yes,Other
1144,C186,2025-12-27,P112,1,29.76,Shipped,"132 Main St, City19",City18,Australia,PayPal,9.59,Books,SR10,North,2025-12-15,4,Yes,Other
1145,C194,2025-12-16,P115,10,71.55,Returned,"309 Main St, City5",City5,UK,Cash,7.61,Toys,SR12,East,2025-12-18,6,No,Female
1146,C026,2025-12-26,P146,8,77.11,Cancelled,"372 Main St, City18",City12,UK,Gift Card,0.91,Clothing,SR05,North,2025-12-18,9,No,Female
1147,C040,2025-12-07,P121,4,40.45,Pending,"588 Main St, City15",City19,Canada,Cash,5.15,Home,SR16,West,2025-12-12,6,Yes,Male
1148,C185,2025-12-18,P131,3,92.01,Shipped,"170 Main St, City9",City5,Australia,Credit Card,18.9,Sports,SR02,North,2025-12-28,3,Yes,Male
1149,C182,2025-12-05,P100,4,52.54,Cancelled,"311 Main St, City18",City15,Canada,Gift Card,13.19,Electronics,SR01,West,2025-12-02,1,No,Other
1150,C074,2025-12-01,P132,7,81.38,Pending,"317 Main St, City5",City8,France,PayPal,4.82,Toys,SR17,East,2025-12-24,5,No,Male
1151,C096,2025-12-31,P125,8,58.23,Pending,"372 Main St, City15",City7,Australia,Credit Card,13.07,Sports,SR02,North,2025-12-27,7,No,Other
1152,C122,2025-12-02,P140,1,71.46,Shipped,"588 Main St, City15",City5,Canada,Cash,11.32,Electronics,SR17,North,2025-12-16,4,No,Female
1153,C012,2025-12-30,P104,5,90.32,Shipped,"453 Main St, City8",City15,USA,PayPal,11.74,Sports,SR13,North,2025-12-21,3,Yes,Other
1154,C100,2025-12-22,P134,6,40.84,Pending,"658 Main St, City4",City17,USA,Cash,1.07,Home,SR08,North,2025-12-23,10,No,Female
1155,C008,2025-12-21,P117,8,51.09,Cancelled,"724 Main St, City13",City11,Germany,PayPal,13.59,Sports,SR13,North,2025-12-20,4,Yes,Male
1156,C069,2025-12-05,P124,3,75.0,Cancelled,"314 Main St, City11",City17,USA,Credit Card,18.86,Home,SR12,East,2025-12-08,3,Yes,Male
1157,C111,2025-12-15,P135,9,53.18,Shipped,"712 Main St, City18",City13,UK,Credit Card,11.94,Books,SR13,North,2025-12-20,7,No,Male
1158,C186,2025-12-29,P135,4,58.9,Pending,"242 Main St, City8",City6,India,PayPal,5.38,Books,SR16,South,2025-12-06,3,No,Female
1159,C108,2025-12-10,P130,2,38.66,Pending,"323 Main St, City14",City18,Germany,PayPal,9.16,Clothing,SR10,North,2025-12-27,6,No,Female
1160,C113,2025-12-11,P127,10,17.06,Cancelled,"972 Main St, City2",City18,India,Gift Card,6.28,Home,SR11,East,2026-01-02,10,Yes,Female
1161,C097,2025-12-09,P125,6,14.92,Pending,"459 Main St, City11",City8,India,Credit Card,19.06,Home,SR07,West,2025-12-20,2,No,Other
1162,C128,2025-12-05,P140,5,27.22,Pending,"452 Main St, City6",City10,Australia,Gift Card,1.48,Toys,SR16,West,2026-01-05,9,No,Other
1163,C010,2025-12-26,P123,9,61.0,Shipped,"317 Main St, City5",City15,India,Cash,3.33,Toys,SR02,West,2025-12-23,7,Yes,Male
1164,C026,2025-12-09,P114,9,75.69,Pending,"800 Main St, City14",City13,Germany,Gift Card,15.45,Toys,SR17,South,2025-12-24,1,No,Male
1165,C076,2025-12-14,P105,2,83.8,Pending,"462 Main St, City18",City18,UK,Gift Card,15.69,Toys,SR16,East,2026-01-01,2,No,Other
1166,C179,2025-12-15,P120,2,32.82,Shipped,"951 Main St, City17",City7,Canada,Credit Card,13.54,Clothing,SR08,South,2025-12-12,6,No,Female
1167,C060,2025-12-26,P125,3,21.88,Returned,"857 Main St, City6",City3,Canada,PayPal,8.99,Home,SR13,North,2025-12-15,4,No,Other
1168,C017,2025-12-19,P106,9,21.94,Cancelled,"989 Main St, City8",City5,USA,Cash,13.41,Home,SR17,East,2025-12-26,10,No,Other
1169,C030,2025-12-12,P122,8,63.26,Cancelled,"432 Main St, City18",City11,USA,PayPal,6.26,Clothing,SR10,North,2025-12-13,6,Yes,Other
1170,C100,2025-12-14,P138,3,59.17,Returned,"708 Main St, City3",City18,Canada,PayPal,11.1,Home,SR10,South,2025-12-13,6,No,Other
1171,C014,2025-12-28,P122,1,50.51,Pending,"347 Main St, City12",City2,France,Gift Card,8.18,Home,SR14,West,2026-01-02,3,Yes,Other
1172,C008,2025-12-26,P148,4,32.03,Cancelled,"510 Main St, City3",City6,UK,PayPal,15.61,Toys,SR16,North,2025-12-09,5,No,Other
1173,C194,2025-12-02,P148,8,56.44,Returned,"786 Main St, City6",City13,Australia,PayPal,5.95,Electronics,SR15,East,2025-12-24,2,No,Male
1174,C199,2025-12-26,P115,4,81.82,Cancelled,"290 Main St, City17",City10,Canada,Gift Card,3.32,Clothing,SR07,South,2025-12-05,10,No,Other
1175,C072,2025-12-20,P134,3,35.06,Cancelled,"605 Main St, City1",City13,UK,Credit Card,2.71,Home,SR02,East,2025-12-10,3,Yes,Male
1176,C183,2025-12-11,P115,7,50.98,Cancelled,"519 Main St, City16",City3,Germany,Gift Card,1.51,Electronics,SR13,East,2025-12-25,8,No,Female
1177,C149,2025-12-01,P149,2,74.16,Returned,"272 Main St, City17",City16,Canada,Cash,17.0,Toys,SR13,South,2025-12-29,4,No,Female
1178,C083,2025-12-27,P118,6,56.53,Pending,"574 Main St, City5",City18,Australia,Cash,17.88,Electronics,SR02,North,2025-12-31,1,Yes,Male
1179,C113,2025-12-15,P100,7,23.41,Pending,"767 Main St, City20",City6,India,Cash,1.87,Books,SR09,North,2025-12-25,3,Yes,Female
